คำศัพท์ภาษาญี่ปุ่นที่ใช้บ่อย – คำนามคำศัพท์名詞　　　　　　めいし　　　　　　　　meishi　　　　 　　คำนาม本　　　　　　　ほん　　　　　　　　　hon　　　　　  　　หนังสือノート　　　　　のーと　　　　　　　　no-to　　　　　　　สมุดโน้ตボールペン　　　ぼーるぺん　　　　　　bo-ru pen　　　　　ปากกา机　　　　　　　つくえ　　　　　　　　tsukue　　　　　 　โต๊ะ椅子　　　　　　いす　　　　　　　　　isu　　　　　  　 　เก้าอี้鉛筆　　　　　　えんぴつ　　　　　　　enpitsu　　　　　　ดินสอ海　　　　　　　うみ　　　　　　　　　umi　　　　　　　  ทะเล川　　　　　　　かわ　　　　　　　　　kawa　　　　　　　แม่น้ำ山　　　　　　　やま　　　　　　　　　yama　　　　   　　ภูเขา乗り物　　　　　のりもの　　　　　　　norimono　　　　　ยานพาหนะ車　　　　　　　くるま　　　　　　　　kuruma　　　　　　รถยนต์電車　　　　　　でんしゃ　　　　　　　densha　　　　　　รถไฟฟ้า自転車　　　　　じてんしゃ　　　　　　jitensha　　　　　   จักรยานバイク　　　　　ばいく　　　　　　　　baiku　　　　　　   มอเตอร์ไซค์飛行機　　　　　ひこうき　　　　　　　hikouki　　　　　 　เครื่องบิน学校　　　　　　がっこう　　　　　　　gakkou　　　　　 　โรงเรียน大学　　　　　　だいがく　　　　　　　daigaku　　　　　มหาวิทยาลัย会社　　　　　　かいしゃ　　　　　　　kaisha　　　　　  บริษัท駅　　　　　　　えき　　　　　　　　　eki　　　　　 　　สถานีรถไฟ日本　　　　　　にほん / にっぽん　　　nihon / nippon　　 ญี่ปุ่นタイ　　　　　　たい　　　　　　　　　tai　　　　　　     ไทย日本人　　　　　にほんじん　　　　　　nihon jin　　　　   คนญี่ปุ่นタイ人　　　　　たいじん　　　　　　　tai jin　　　　　　 คนไทย宿題　　　　　　しゅくだい　　　　　　shukudai　　　　  การบ้าน
คำศัพท์ภาษาญี่ปุ่นที่ใช้บ่อย – คำนาม
คำศัพท์
名詞　　　　　　めいし　　　　　　　　meishi　　　　 　　คำนาม
本　　　　　　　ほん　　　　　　　　　hon　　　　　  　　หนังสือ
ノート　　　　　のーと　　　　　　　　no-to　　　　　　　สมุดโน้ต
ボールペン　　　ぼーるぺん　　　　　　bo-ru pen　　　　　ปากกา
机　　　　　　　つくえ　　　　　　　　tsukue　　　　　 　โต๊ะ
椅子　　　　　　いす　　　　　　　　　isu　　　　　  　 　เก้าอี้
鉛筆　　　　　　えんぴつ　　　　　　　enpitsu　　　　　　ดินสอ
海　　　　　　　うみ　　　　　　　　　umi　　　　　　　  ทะเล
川　　　　　　　かわ　　　　　　　　　kawa　　　　　　　แม่น้ำ
山　　　　　　　やま　　　　　　　　　yama　　　　   　　ภูเขา
乗り物　　　　　のりもの　　　　　　　norimono　　　　　ยานพาหนะ
車　　　　　　　くるま　　　　　　　　kuruma　　　　　　รถยนต์
電車　　　　　　でんしゃ　　　　　　　densha　　　　　　รถไฟฟ้า
自転車　　　　　じてんしゃ　　　　　　jitensha　　　　　   จักรยาน
バイク　　　　　ばいく　　　　　　　　baiku　　　　　　   มอเตอร์ไซค์
飛行機　　　　　ひこうき　　　　　　　hikouki　　　　　 　เครื่องบิน
学校　　　　　　がっこう　　　　　　　gakkou　　　　　 　โรงเรียน
大学　　　　　　だいがく　　　　　　　daigaku　　　　　มหาวิทยาลัย
会社　　　　　　かいしゃ　　　　　　　kaisha　　　　　  บริษัท
駅　　　　　　　えき　　　　　　　　　eki　　　　　 　　สถานีรถไฟ
日本　　　　　　にほん / にっぽん　　　nihon / nippon　　 ญี่ปุ่น
タイ　　　　　　たい　　　　　　　　　tai　　　　　　     ไทย
日本人　　　　　にほんじん　　　　　　nihon jin　　　　   คนญี่ปุ่น
タイ人　　　　　たいじん　　　　　　　tai jin　　　　　　 คนไทย
宿題　　　　　　しゅくだい　　　　　　shukudai　　　　  การบ้าน
