คำคุณศัพท์ na และ iคำคุณศัพท์ i大きい　 　　おおきい　　　　　ookii　　　　　　 ใหญ่小さい　　    ちいさい　　　　  chiisai　　　　　    เล็ก新しい　　　あたらしい　　　　atarashii　　　　   ใหม่古い　　　　ふるい　　　　　　furui　　　　　　   เก่า暑い　　　　あつい　　　　　　atsui　　　　　      ร้อน寒い　　　　さむい　　　　　　samui　　　　    　หนาว熱い　　　　あつい　　　　　　atsui　　　　   　   ร้อน冷たい　　　つめたい　　　　　tsumetai　　　　　เย็น高い　　　　たかい　　　　　　takai　　　　   　   แพง安い　　　　やすい　　　　　　yasui　　　　   　  ถูก面白い　　　おもしろい　　　　omoshiroi　　　     น่าสนใจ สนุก美味しい　　おいしい　　　　　oishii　　　　　　  อร่อย楽しい　　　たのしい　　　　　tanoshii　　　     　สนุก甘い　　　　あまい　　　　　　amai　　　　　      หวาน辛い　　　　からい　　　　　　karai　　　　　      เผ็ดคำคุณศัพท์ naハンサム　　はんさむ　　　　　hansamu 　　　　  หล่อ綺麗　　　　きれい　　　　　　kirei　　　　　　    สวย静か　　　　しずか　　　　　　shizuka　　　　　  เงียบ有名　　　　ゆうめい　　　　　yu-mei　　　　　　มีชื่อเสียง親切　　　　しんせつ　　　　　shinsetsu　　　　   ใจดี元気　　　　げんき　　　　　　genki　　　　　　   ร่าเริง暇　　　　　ひま　　　　　　　hima                         เวลาว่าง便利　　　　べんり　　　　　　benri　　　　　　   สะดวกสบาย好き　　　　すき　　　　　　　suki　　　　　　     ชอบ嫌い　　　　きらい　　　　　　kirai　　　　　　     เกลียด
คำคุณศัพท์ na และ i
คำคุณศัพท์ i
大きい　 　　おおきい　　　　　ookii　　　　　　 ใหญ่
小さい　　    ちいさい　　　　  chiisai　　　　　    เล็ก
新しい　　　あたらしい　　　　atarashii　　　　   ใหม่
古い　　　　ふるい　　　　　　furui　　　　　　   เก่า
暑い　　　　あつい　　　　　　atsui　　　　　      ร้อน
寒い　　　　さむい　　　　　　samui　　　　    　หนาว
熱い　　　　あつい　　　　　　atsui　　　　   　   ร้อน
冷たい　　　つめたい　　　　　tsumetai　　　　　เย็น
高い　　　　たかい　　　　　　takai　　　　   　   แพง
安い　　　　やすい　　　　　　yasui　　　　   　  ถูก
面白い　　　おもしろい　　　　omoshiroi　　　     น่าสนใจ สนุก
美味しい　　おいしい　　　　　oishii　　　　　　  อร่อย
楽しい　　　たのしい　　　　　tanoshii　　　     　สนุก
甘い　　　　あまい　　　　　　amai　　　　　      หวาน
辛い　　　　からい　　　　　　karai　　　　　      เผ็ด

คำคุณศัพท์ na
ハンサム　　はんさむ　　　　　hansamu 　　　　  หล่อ
綺麗　　　　きれい　　　　　　kirei　　　　　　    สวย
静か　　　　しずか　　　　　　shizuka　　　　　  เงียบ
有名　　　　ゆうめい　　　　　yu-mei　　　　　　มีชื่อเสียง
親切　　　　しんせつ　　　　　shinsetsu　　　　   ใจดี
元気　　　　げんき　　　　　　genki　　　　　　   ร่าเริง
暇　　　　　ひま　　　　　　　hima                         เวลาว่าง
便利　　　　べんり　　　　　　benri　　　　　　   สะดวกสบาย
好き　　　　すき　　　　　　　suki　　　　　　     ชอบ
嫌い　　　　きらい　　　　　　kirai　　　　　　     เกลียด
